ABE,NRK,BAL,None,None,None,None,None,None,None,None
ABQ,LMY,GLP,None,None,None,None,None,None,None,None
ACA,MTZ,SKN,None,None,None,None,None,None,None,None
ACD,PBF,STL,None,None,None,None,None,None,None,None
ADM,GLE,PVL,None,None,None,None,None,None,None,None
AKY,SPM,HUN,None,None,None,None,None,None,None,None
ALB,HUD,PIT,SDY,None,None,None,None,None,None,None
ALC,CLE,PGH,None,None,None,None,None,None,None,None
ALD,HIN,WSS,None,None,None,None,None,None,None,None
ALI,BTL,JXN,None,None,None,None,None,None,None,None
ALN,CRV,STL,None,None,None,None,None,None,None,None
ALP,SND,ELP,None,None,None,None,None,None,None,None
ALT,TYR,JST,None,None,None,None,None,None,None,None
ALX,WAS,BCV,LOR,None,None,None,None,None,None,None
ALY,EUG,SLM,None,None,None,None,None,None,None,None
AMS,SDY,UCA,None,None,None,None,None,None,None,None
ANA,SNA,FUL,None,None,None,None,None,None,None,None
ARB,DER,JXN,None,None,None,None,None,None,None,None
ARD,PHL,PAO,None,None,None,None,None,None,None,None
ARK,MVN,HOP,None,None,None,None,None,None,None,None
ARN,RLN,COX,None,None,None,None,None,None,None,None
ASD,RVR,FBG,None,None,None,None,None,None,None,None
AST,OKL,GMS,None,None,None,None,None,None,None,None
ATL,ATN,GNS,None,None,None,None,None,None,None,None
ATN,BHM,ATL,None,None,None,None,None,None,None,None
AUS,SMC,TAY,None,None,None,None,None,None,None,None
BAL,BWI,ABE,None,None,None,None,None,None,None,None
BAM,SJM,HOM,None,None,None,None,None,None,None,None
BAR,NDL,VRV,None,None,None,None,None,None,None,None
BBY,BOS,RTE,FRA,None,None,None,None,None,None,None
BCV,MSS,ALX,LOR,None,None,None,None,None,None,None
BEL,VAC,MVW,None,None,None,None,None,None,None,None
BEN,TUS,LDB,None,None,None,None,None,None,None,None
BER,MDN,HFD,None,None,None,None,None,None,None,None
BFD,WAC,None,None,None,None,None,None,None,None,None
BFX,BUF,ERI,NFL,None,None,None,None,None,None,None
BHM,TCL,ATN,None,None,None,None,None,None,None,None
BKY,EMY,RIC,None,None,None,None,None,None,None,None
BLF,BRA,CLA,None,None,None,None,None,None,None,None
BMT,HOS,LCH,None,None,None,None,None,None,None,None
BNC,GRO,DNC,None,None,None,None,None,None,None,None
BNG,WIH,VAN,None,None,None,None,None,None,None,None
BNL,LCN,PON,None,None,None,None,None,None,None,None
BON,WOB,None,None,None,None,None,None,None,None,None
BOS,BBY,None,None,None,None,None,None,None,None,None
BRA,GFD,BLF,None,None,None,None,None,None,None,None
BRH,MCB,HAZ,None,None,None,None,None,None,None,None
BRK,FRE,None,None,None,None,None,None,None,None,None
BRL,MTP,GBB,None,None,None,None,None,None,None,None
BRO,GPK,CUT,None,None,None,None,None,None,None,None
BRP,NHV,STM,None,None,None,None,None,None,None,None
BTL,KAL,ALI,LNS,None,None,None,None,None,None,None
BUF,BFX,ERI,ROC,None,None,None,None,None,None,None
BUR,VNC,GDL,None,None,None,None,None,None,None,None
BWI,BAL,NCR,None,None,None,None,None,None,None,None
BYN,WTI,TOL,None,None,None,None,None,None,None,None
CAM,CLB,HAM,None,None,None,None,None,None,None,None
CBR,FTW,MCG,None,None,None,None,None,None,None,None
CBS,POG,MKE,None,None,None,None,None,None,None,None
CDL,DQN,FTN,None,None,None,None,None,None,None,None
CEN,DQN,EFG,None,None,None,None,None,None,None,None
CHI,GLN,LAG,SMT,HMW,DYE,HMI,None,None,None,None
CHM,MAT,RTL,None,None,None,None,None,None,None,None
CHS,YEM,KTR,None,None,None,None,None,None,None,None
CHW,HUN,MNG,None,None,None,None,None,None,None,None
CIC,RDD,SAC,RSV,LOD,None,None,None,None,None,None
CIN,COI,MAY,None,None,None,None,None,None,None,None
CLA,WNM,BLF,None,None,None,None,None,None,None,None
CLB,CAM,DNK,None,None,None,None,None,None,None,None
CLE,ELY,ALC,ERI,None,None,None,None,None,None,None
CLF,STA,WSS,None,None,None,None,None,None,None,None
CLP,CVS,MSS,None,None,None,None,None,None,None,None
CLT,GAS,KAN,None,None,None,None,None,None,None,None
CML,OXN,MPK,None,None,None,None,None,None,None,None
CMO,KFS,EUG,None,None,None,None,None,None,None,None
CNL,BFD,COC,None,None,None,None,None,None,None,None
CNV,RUD,WHL,FED,None,None,None,None,None,None,None
COC,HNF,CNL,None,None,None,None,None,None,None,None
COI,IND,CIN,None,None,None,None,None,None,None,None
COT,PAR,DOW,None,None,None,None,None,None,None,None
COV,PGH,GNB,CUM,None,None,None,None,None,None,None
COX,ARN,TRU,None,None,None,None,None,None,None,None
CPN,SBA,VEC,None,None,None,None,None,None,None,None
CRF,LAF,IND,None,None,None,None,None,None,None,None
CRN,OMA,OTM,None,None,None,None,None,None,None,None
CRT,YNY,POU,None,None,None,None,None,None,None,None
CRV,ALN,SPI,None,None,None,None,None,None,None,None
CSN,TCA,GRV,None,None,None,None,None,None,None,None
CTL,OLW,KEL,None,None,None,None,None,None,None,None
CUM,MRB,COV,None,None,None,None,None,None,None,None
CUT,BRO,SBY,None,None,None,None,None,None,None,None
CVS,STA,LYH,CLP,None,None,None,None,None,None,None
CWH,PHN,TRE,None,None,None,None,None,None,None,None
CWT,SIM,VNC,None,None,None,None,None,None,None,None
CYN,NSF,DNC,SOP,None,None,None,None,None,None,None
DAL,FTW,MIN,None,None,None,None,None,None,None,None
DAN,LYH,RNK,GRO,None,None,None,None,None,None,None
DAV,SAC,FFV,None,None,None,None,None,None,None,None
DDG,GCK,HUT,None,None,None,None,None,None,None,None
DEM,LDB,ELP,None,None,None,None,None,None,None,None
DEN,WPR,FMG,None,None,None,None,None,None,None,None
DER,DET,ARB,None,None,None,None,None,None,None,None
DET,DER,ROY,None,None,None,None,None,None,None,None
DFB,DLB,FTL,None,None,None,None,None,None,None,None
DHM,DOV,EXR,None,None,None,None,None,None,None,None
DIL,FLO,FAY,None,None,None,None,None,None,None,None
DLB,DFB,WPB,None,None,None,None,None,None,None,None
DLD,SFA,PAK,None,None,None,None,None,None,None,None
DLK,FAR,SPL,None,None,None,None,None,None,None,None
DNC,BNC,CYN,None,None,None,None,None,None,None,None
DNK,CLB,SAV,None,None,None,None,None,None,None,None
DOA,NLS,KAL,None,None,None,None,None,None,None,None
DOV,DHM,WEM,None,None,None,None,None,None,None,None
DOW,COT,EXT,None,None,None,None,None,None,None,None
DQN,CEN,CDL,None,None,None,None,None,None,None,None
DRD,LNS,FLN,None,None,None,None,None,None,None,None
DRT,SND,SAS,None,None,None,None,None,None,None,None
DUN,RDD,KFS,None,None,None,None,None,None,None,None
DVL,RUG,GFK,None,None,None,None,None,None,None,None
DWT,PON,JOL,None,None,None,None,None,None,None,None
DYE,CHI,HMW,HMI,SMT,LAG,None,None,None,None,None
EDM,EVR,SEA,None,None,None,None,None,None,None,None
EFG,MAT,CEN,None,None,None,None,None,None,None,None
EKH,SOB,WTI,None,None,None,None,None,None,None,None
ELK,WNN,SLC,None,None,None,None,None,None,None,None
ELP,DEM,ALP,None,None,None,None,None,None,None,None
ELT,MID,MJY,None,None,None,None,None,None,None,None
ELY,SKY,CLE,None,None,None,None,None,None,None,None
EMY,BKY,OKJ,None,None,None,None,None,None,None,None
EPH,WEN,SPK,PSC,None,None,None,None,None,None,None
ERI,CLE,ALC,BFX,BUF,None,None,None,None,None,None
ESM,WGL,GPK,None,None,None,None,None,None,None,None
ESX,SAB,WAB,None,None,None,None,None,None,None,None
EUG,ALY,CMO,None,None,None,None,None,None,None,None
EVR,EDM,STW,LWA,None,None,None,None,None,None,None
EWR,NWK,MET,None,None,None,None,None,None,None,None
EXR,HHL,DHM,None,None,None,None,None,None,None,None
EXT,DOW,PAO,None,None,None,None,None,None,None,None
FAR,GFK,DLK,None,None,None,None,None,None,None,None
FAY,SSM,DIL,None,None,None,None,None,None,None,None
FBG,QAN,ASD,None,None,None,None,None,None,None,None
FED,SAR,WHL,CNV,None,None,None,None,None,None,None
FFV,SUI,DAV,None,None,None,None,None,None,None,None
FLG,WLO,NDL,None,None,None,None,None,None,None,None
FLN,LPE,DRD,None,None,None,None,None,None,None,None
FLO,DIL,KTR,None,None,None,None,None,None,None,None
FMD,GBB,LAP,None,None,None,None,None,None,None,None
FMG,DEN,MCK,None,None,None,None,None,None,None,None
FMT,HAY,GAC,None,None,None,None,None,None,None,None
FNO,MDR,HNF,None,None,None,None,None,None,None,None
FRA,WOR,BBY,None,None,None,None,None,None,None,None
FRE,POR,BRK,None,None,None,None,None,None,None,None
FTC,WHL,POH,None,None,None,None,None,None,None,None
FTL,HOL,DFB,None,None,None,None,None,None,None,None
FTN,NBN,CDL,None,None,None,None,None,None,None,None
FTW,DAL,CBR,GLE,None,None,None,None,None,None,None
FUL,ANA,LAX,RIV,None,None,None,None,None,None,None
GAC,SCC,FMT,HAY,OAC,None,None,None,None,None,None
GAS,SPB,CLT,None,None,None,None,None,None,None,None
GBB,BRL,FMD,MAC,None,None,None,None,None,None,None
GCK,LMR,DDG,None,None,None,None,None,None,None,None
GDL,BUR,LAX,POS,FUL,None,None,None,None,None,None
GFD,BRA,NHT,None,None,None,None,None,None,None,None
GFK,DVL,FAR,None,None,None,None,None,None,None,None
GGW,MAL,WPT,None,None,None,None,None,None,None,None
GJT,GRI,GSC,None,None,None,None,None,None,None,None
GLE,ADM,FTW,None,None,None,None,None,None,None,None
GLM,KKI,RTL,None,None,None,None,None,None,None,None
GLN,CHI,SVT,None,None,None,None,None,None,None,None
GLP,WLO,ABQ,None,None,None,None,None,None,None,None
GMS,AST,SCA,None,None,None,None,None,None,None,None
GNB,LAB,PGH,COV,None,None,None,None,None,None,None
GNS,TCA,ATL,None,None,None,None,None,None,None,None
GPK,BRO,ESM,None,None,None,None,None,None,None,None
GRA,WIP,GSC,None,None,None,None,None,None,None,None
GRI,HER,GJT,None,None,None,None,None,None,None,None
GRO,DAN,HPT,BNC,None,None,None,None,None,None,None
GRR,HOM,None,None,None,None,None,None,None,None,None
GRV,CSN,SPB,None,None,None,None,None,None,None,None
GSC,GJT,GRA,None,None,None,None,None,None,None,None
GTA,SLO,SBA,None,None,None,None,None,None,None,None
GUA,GVB,LPS,None,None,None,None,None,None,None,None
GVB,SLO,GUA,None,None,None,None,None,None,None,None
GWD,MKS,YAZ,None,None,None,None,None,None,None,None
HAM,CAM,SOP,None,None,None,None,None,None,None,None
HAR,LEW,MID,None,None,None,None,None,None,None,None
HAS,HLD,LNK,None,None,None,None,None,None,None,None
HAV,SBY,MAL,None,None,None,None,None,None,None,None
HAY,OAC,FMT,GAC,None,None,None,None,None,None,None
HAZ,BRH,JAN,None,None,None,None,None,None,None,None
HBG,LAU,PIC,None,None,None,None,None,None,None,None
HEM,JEF,WAH,None,None,None,None,None,None,None,None
HER,PRO,GRI,None,None,None,None,None,None,None,None
HFD,WND,BER,None,None,None,None,None,None,None,None
HFY,MRB,RKV,None,None,None,None,None,None,None,None
HGD,TYR,LEW,None,None,None,None,None,None,None,None
HHL,WOB,EXR,None,None,None,None,None,None,None,None
HIN,PRC,ALD,None,None,None,None,None,None,None,None
HLD,MCK,HAS,None,None,None,None,None,None,None,None
HLK,SPG,WNL,PIT,NHT,WOR,None,None,None,None,None
HMD,MCB,NOL,SDL,SCH,None,None,None,None,None,None
HMI,MCI,CHI,NLS,SOB,None,None,None,None,None,None
HMW,CHI,DYE,KKI,HMI,SMT,LAG,None,None,None,None
HNF,FNO,CNL,None,None,None,None,None,None,None,None
HOL,FTL,MIA,None,None,None,None,None,None,None,None
HOM,GRR,BAM,None,None,None,None,None,None,None,None
HOP,ARK,TXA,None,None,None,None,None,None,None,None
HOS,BMT,SAS,SMC,None,None,None,None,None,None,None
HPT,LEX,GRO,None,None,None,None,None,None,None,None
HUD,ALB,RHI,None,None,None,None,None,None,None,None
HUN,AKY,CHW,None,None,None,None,None,None,None,None
HUT,NEW,DDG,None,None,None,None,None,None,None,None
IDP,KCY,LEE,None,None,None,None,None,None,None,None
IND,CRF,COI,None,None,None,None,None,None,None,None
IRV,SNA,SNC,None,None,None,None,None,None,None,None
JAN,YAZ,HAZ,None,None,None,None,None,None,None,None
JAX,PAK,JSP,None,None,None,None,None,None,None,None
JEF,SED,HEM,None,None,None,None,None,None,None,None
JOL,SMT,DWT,None,None,None,None,None,None,None,None
JSP,SAV,JAX,None,None,None,None,None,None,None,None
JST,LAB,ALT,None,None,None,None,None,None,None,None
JXN,ALI,ARB,None,None,None,None,None,None,None,None
KAL,BTL,DOA,None,None,None,None,None,None,None,None
KAN,CLT,SAL,None,None,None,None,None,None,None,None
KCY,IDP,LRC,LAP,None,None,None,None,None,None,None
KEE,GBB,PCT,None,None,None,None,None,None,None,None
KEL,VAN,CTL,None,None,None,None,None,None,None,None
KFS,CMO,DUN,None,None,None,None,None,None,None,None
KIN,PVD,WLY,None,None,None,None,None,None,None,None
KIS,ORL,WTH,LKL,None,None,None,None,None,None,None
KKI,HMW,GLM,None,None,None,None,None,None,None,None
KNG,NDL,WMA,None,None,None,None,None,None,None,None
KTR,CHS,FLO,None,None,None,None,None,None,None,None
KWD,STL,WAH,ACD,None,None,None,None,None,None,None
LAB,GNB,JST,None,None,None,None,None,None,None,None
LAF,CRF,REN,None,None,None,None,None,None,None,None
LAG,CHI,SMT,NPV,HMI,HMW,DYE,None,None,None,None
LAJ,TRI,LMR,None,None,None,None,None,None,None,None
LAK,TPA,WTH,KIS,None,None,None,None,None,None,None
LAP,FMD,KCY,None,None,None,None,None,None,None,None
LAU,HBG,MEI,None,None,None,None,None,None,None,None
LAX,GDL,FUL,POS,None,None,None,None,None,None,None
LCH,BMT,LFT,None,None,None,None,None,None,None,None
LCN,BNL,SPI,None,None,None,None,None,None,None,None
LDB,BEN,DEM,None,None,None,None,None,None,None,None
LEE,IDP,WAR,None,None,None,None,None,None,None,None
LEW,HGD,HAR,None,None,None,None,None,None,None,None
LEX,SAL,HPT,None,None,None,None,None,None,None,None
LFT,NIB,LCH,None,None,None,None,None,None,None,None
LIB,SPT,WFH,None,None,None,None,None,None,None,None
LKL,TPA,WTH,KIS,None,None,None,None,None,None,None
LMR,LAJ,GCK,None,None,None,None,None,None,None,None
LMY,LSV,ABQ,None,None,None,None,None,None,None,None
LNC,MJY,PAR,None,None,None,None,None,None,None,None
LNK,OMA,HAS,None,None,None,None,None,None,None,None
LNS,DRD,BTL,ALI,None,None,None,None,None,None,None
LOD,SKT,SAC,RSV,CIC,None,None,None,None,None,None
LOR,WDB,ALX,BCV,None,None,None,None,None,None,None
LPE,FLN,PTH,None,None,None,None,None,None,None,None
LPS,GTA,GUA,None,None,None,None,None,None,None,None
LRC,TOP,KCY,None,None,None,None,None,None,None,None
LRK,WNR,MVN,None,None,None,None,None,None,None,None
LSE,WIN,TOH,None,None,None,None,None,None,None,None
LSV,LMY,RAT,None,None,None,None,None,None,None,None
LTM,SKT,MOD,ACA,None,None,None,None,None,None,None
